Gender,Age,Occupation,Population
Male,25.0,MGR-Architectural And Engineering Managers,0.0
Male,26.0,MGR-Architectural And Engineering Managers,0.0
Male,27.0,MGR-Architectural And Engineering Managers,237.0
Male,28.0,MGR-Architectural And Engineering Managers,0.0
Male,29.0,MGR-Architectural And Engineering Managers,55.0
Male,30.0,MGR-Architectural And Engineering Managers,0.0
Female,18.0,MGR-Architectural And Engineering Managers,0.0
Female,19.0,MGR-Architectural And Engineering Managers,0.0
Female,20.0,MGR-Architectural And Engineering Managers,0.0
Female,21.0,MGR-Architectural And Engineering Managers,0.0
Female,22.0,MGR-Architectural And Engineering Managers,0.0
Female,23.0,MGR-Architectural And Engineering Managers,0.0
Female,24.0,MGR-Architectural And Engineering Managers,0.0
Female,25.0,MGR-Architectural And Engineering Managers,0.0
Female,26.0,MGR-Architectural And Engineering Managers,0.0
Female,27.0,MGR-Architectural And Engineering Managers,0.0
Female,28.0,MGR-Architectural And Engineering Managers,0.0
Female,29.0,MGR-Architectural And Engineering Managers,0.0
Female,30.0,MGR-Architectural And Engineering Managers,0.0
Male,18.0,MGR-Food Service Managers,0.0
Male,19.0,MGR-Food Service Managers,230.0
Male,20.0,MGR-Food Service Managers,152.0
Male,21.0,MGR-Food Service Managers,0.0
Male,22.0,MGR-Food Service Managers,93.0
Male,23.0,MGR-Food Service Managers,0.0
Male,24.0,MGR-Food Service Managers,254.0
